cust_id,count
47771,500
16078,500
39004,500
84708,500
84032,500
48120,500
10553,500
86364,500
81031,500
92534,500
72546,500
40173,500
79615,500
32551,500
38415,500
98989,500
46174,500
48166,500
28331,500
23244,500
74958,500
28742,500
30517,500
11393,500
76477,500
83812,500
14815,500
56387,499
61235,499
73534,498
89135,498
13472,497
91835,497
35061,497
11332,495
24359,494
17445,494
63419,494
54518,492
58705,490
48025,489
85707,487
64407,479
54342,478
26204,477
28113,475
47412,473
89771,471
32489,471
77634,470
57450,469
93837,468
79866,458
32671,458
29107,457
96675,457
30679,455
54175,455
87954,450
41819,449
50269,447
95134,447
56800,446
48398,443
64196,442
32054,440
56322,437
67406,423
52646,422
90327,420
20947,416
62362,415
92441,414
65770,411
61998,408
13089,407
80009,407
27728,406
87595,404
96273,404
56946,404
25111,403
92130,401
83188,398
19738,398
14265,398
24860,397
95986,395
70677,395
52827,394
21609,394
34989,393
45696,392
32787,392
73834,391
75718,390
46303,389
99666,387
47511,387
97399,386
10227,386
11065,385
71424,385
87642,384
98178,384
64031,383
40973,383
32107,382
47017,381
63069,380
80319,380
84123,377
89379,374
94190,372
56077,371
51067,368
41184,367
62302,365
95687,365
38385,362
16755,361
58306,360
73556,360
95492,360
93056,359
87905,358
56373,357
33124,356
18252,355
57791,354
10762,354
93078,353
18021,352
57866,348
34731,348
39359,347
31542,346
11236,345
99088,344
50754,344
48719,343
98653,341
56020,341
82790,340
49199,340
50813,340
17963,340
95866,339
86161,338
21817,335
31395,333
34806,330
89730,329
94226,324
36299,323
11460,323
18725,323
31588,323
80282,320
49991,319
26465,319
37762,319
41774,317
18881,314
20003,312
40982,312
22760,311
81273,308
75006,308
52658,306
47519,304
13760,301
80871,300
90670,299
57070,296
93295,293
98417,293
19724,291
18781,290
62391,289
44817,289
53614,287
68651,283
94532,283
93703,281
66360,276
51456,274
95484,271
91667,271
53397,265
57491,265
96524,265
61395,264
68380,263
27438,262
41483,262
83580,260
33825,259
58234,258
36562,257
93121,255
99718,255
11719,254
21985,254
58144,254
49729,252
81044,252
19179,252
34555,249
36031,248
14751,248
42645,247
52530,244
18084,244
51143,244
89447,243
15626,241
20832,241
97950,239
41075,238
94292,234
86662,233
73447,233
75108,229
67036,228
88402,228
44378,225
25919,223
91227,223
52276,222
51868,220
43582,216
72370,214
31062,212
46201,212
96741,212
96299,212
53215,212
79266,211
82302,210
33082,210
14979,210
63249,207
20595,207
40239,206
53887,205
90347,205
95688,202
88065,202
74772,201
